Cartridge (Wb + type),MV (fps),V @ 200 yds,ME (ft lb),E @ 200 yds,Bullet Weight (grains),Bullet Weight (grams),Bullet Type,MV (mps)
.318 W-R (180 RN),2700,2120.0,2920,1804.0,180.0,11.6638038,RN,822.96
.32-20 (100 FP),1210,913.0,325,185.0,100.0,6.479891,FP,368.808
.32 Rem. (170 RN),2120,1540.0,1700,895.0,170.0,11.0158147,RN,646.176
.32 Spec. (170 FP),2250,1630.0,1910,1000.0,170.0,11.0158147,FP,685.8000000000001
8x56 M-S (170 RN),2260,1602.0,1928,969.0,170.0,11.0158147,RN,688.8480000000001
8x57 JS (150 SP),2800,2202.0,2611,1615.0,150.0,9.7198365,SP,853.44
8mm-06 (150 SP),2900,2289.0,2801,1745.0,150.0,9.7198365,SP,883.9200000000001
.325 WSM (200 Sp),2875,2457.0,3671,2680.0,200.0,12.959782,Sp,876.3000000000001
8x68 S (150 SP),3300,2635.0,3626,2311.0,150.0,9.7198365,SP,1005.84
8x68 S (200 Sp),2950,2524.0,3865,2830.0,200.0,12.959782,Sp,899.1600000000001
8x68 S (220 SP),2800,2417.0,3829,2853.0,220.0,14.255760200000001,SP,853.44
8mm Rem. Mag. (200 Sp),2900,2361.0,3734,2476.0,200.0,12.959782,Sp,883.9200000000001
.33 Win. (200 FP),2200,1485.0,2149,979.0,200.0,12.959782,FP,670.5600000000001
.338x57 O'Connor (200 FP),2400,1638.0,2558,1191.0,200.0,12.959782,FP,731.52
.338 Federal (180 BT),2830,2359.0,3201,2224.0,180.0,11.6638038,BT,862.5840000000001
.338 Federal (200 Sp),2400,2043.0,2558,1854.0,200.0,12.959782,Sp,731.52
.338 Federal (210 NP),2630,2211.0,3225,2279.0,210.0,13.6077711,NP,801.624
.338-06 (200 Sp),2750,2364.0,3358,2482.0,200.0,12.959782,Sp,838.2
.338 Win. Mag. (200 Sp),2950,2509.0,3866,2795.0,200.0,12.959782,Sp,899.1600000000001
.338 Win. Mag. (225 Sp),2780,2374.0,3860,2815.0,225.0,14.579754750000001,Sp,847.344
.338 Win. Mag. (250 Sp),2650,2291.0,3899,2914.0,250.0,16.1997275,Sp,807.72
.330 Dakota (250 SpHP),2900,2545.0,4668,3595.0,250.0,16.1997275,SpHP,883.9200000000001
.340 Wby. Mag. (250 Sp),2941,2553.0,4801,3618.0,250.0,16.1997275,Sp,896.4168000000001
.338 Ultra Mag (250 Sp),2860,2443.0,4540,3314.0,250.0,16.1997275,Sp,871.7280000000001
.338 Lapua (250 SP),2800,2389.0,4351,3167.0,250.0,16.1997275,SP,853.44
.338-378 Wby. (250 Sp),3060,2662.0,5197,3933.0,250.0,16.1997275,Sp,932.6880000000001
.348 Win. (200 FP),2520,1931.0,2820,1656.0,200.0,12.959782,FP,768.096
.351 WSL (180 RN),1850,1310.0,1370,685.0,180.0,11.6638038,RN,563.88
.357 Mag. (158 FP),1830,1138.0,1175,454.0,158.0,10.23822778,FP,557.784
.357 Mag. (180 HP),1550,980.0,960,385.0,180.0,11.6638038,HP,472.44
.35 Rem. (200 RN),2080,1376.0,1921,841.0,200.0,12.959782,RN,633.984
.35 Win. (250 RN),2195,,2670,,250.0,16.1997275,RN,669.0360000000001
.356 Win. (200 FP),2460,1797.0,2688,1434.0,200.0,12.959782,FP,749.808
.358 Win. (200 Sp),2490,1876.0,2753,1563.0,200.0,12.959782,Sp,758.952
.35 Whelen (200 Sp),2675,2100.0,3177,1958.0,200.0,12.959782,Sp,815.34
.35 Whelen (225 NP),2525,2143.0,3185,2294.0,225.0,14.579754750000001,NP,769.62
.35 Whelen (250 NP),2500,2130.0,3469,2526.0,250.0,16.1997275,NP,762.0
.350 Rem. Mag. (200 PSP),2775,2186.0,3419,2122.0,200.0,12.959782,PSP,845.82
.350 Rem. Mag. (225 NP),2600,2211.0,3377,2443.0,225.0,14.579754750000001,NP,792.48
.350 Rem. Mag. (250 SP),2500,2061.0,3469,2357.0,250.0,16.1997275,SP,762.0
.358 Norma Mag. (250 Sp),2723,2225.0,4117,2748.0,250.0,16.1997275,Sp,829.9704
.35 Newton (250 SSp),2975,,4925,,250.0,16.1997275,SSp,906.7800000000001
.358 STA (275 RN),2850,2292.0,4959,3208.0,275.0,17.81970025,RN,868.6800000000001
9.3x53R (256 RN),2330,1695.0,3010,1593.0,256.0,16.58852096,RN,710.1840000000001
9.3x57 (286 Sp),2067,1662.0,2714,1754.0,286.0,18.53248826,Sp,630.0216
9.3x62 (286 SpBT),2362,1931.0,3544,2370.0,286.0,18.53248826,SpBT,719.9376000000001
9.3x64 (286 RN),2700,2103.0,4629,2808.0,286.0,18.53248826,RN,822.96
9.3x74R (286 Sp),2362,1920.0,3544,2342.0,286.0,18.53248826,Sp,719.9376000000001
.375 Win. (200 FP),2200,1526.0,2150,1034.0,200.0,12.959782,FP,670.5600000000001
.375 H&H Mag. (270 Sp),2690,2170.0,4340,2810.0,270.0,17.495705700000002,Sp,819.912
.375 H&H Mag. (300 Sp),2530,1979.0,4262,2608.0,300.0,19.439673,Sp,771.144
.375 Dakota (300 SpHP),2600,2051.0,4502,2800.0,300.0,19.439673,SpHP,792.48
.375 Wby. Mag. (300 Sp),2800,2366.0,5224,3696.0,300.0,19.439673,Sp,853.44
.375 Ultra Mag (300 Sp),2760,2263.0,5073,3412.0,300.0,19.439673,Sp,841.248
.376 Steyr (270 SP),2600,2156.0,4052,2787.0,270.0,17.495705700000002,SP,792.48
.378 Wby. Mag. (270 SP),3180,2677.0,6062,4295.0,270.0,17.495705700000002,SP,969.264
.38-40 Win. (180 FP),1160,901.0,538,324.0,180.0,11.6638038,FP,353.56800000000004
.38-55 Win. (255 FP),1320,1091.0,987,674.0,255.0,16.52372205,FP,402.336
".450-400 3"" (400 RN)",2150,1690.0,4105,2537.0,400.0,25.919564,RN,655.32
.400 H&H Mag. (400 RN),2375,1947.0,5011,3365.0,400.0,25.919564,RN,723.9000000000001
.401 WSL (200 FP),2135,,2020,,200.0,12.959782,FP,650.748
.404 Jeffery (400 RN),2150,1674.0,4105,2489.0,400.0,25.919564,RN,655.32
.405 Win. (300 FP),2200,1545.0,3224,1589.0,300.0,19.439673,FP,670.5600000000001
.416 Taylor (400 RN),2350,1853.0,4905,3049.0,400.0,25.919564,RN,716.2800000000001
.416 Rem. Mag. (400 Sp),2400,1962.0,5115,3419.0,400.0,25.919564,Sp,731.52
.416 Rigby (400 RN),2370,1890.0,4990,3130.0,400.0,25.919564,RN,722.3760000000001
.416 Dakota (400 SpHP),2450,2143.0,5330,4077.0,400.0,25.919564,SpHP,746.76
.416 Wby. Mag. (400 RN),2700,2152.0,6474,4113.0,400.0,25.919564,RN,822.96
.44-40 Win. (200 FP),1190,900.0,629,360.0,200.0,12.959782,FP,362.71200000000005
.44 Rem. Mag. (240 FP),1760,1114.0,1650,661.0,240.0,15.5517384,FP,536.448
.44 Rem. Mag. (275 HP),1580,1093.0,1524,730.0,275.0,17.81970025,HP,481.584
.444 Marlin (240 FP),2350,1377.0,2942,1010.0,240.0,15.5517384,FP,716.2800000000001
.444 Marlin (265 FP),2335,1551.0,3208,1415.0,265.0,17.17171115,FP,711.7080000000001
.450 Bushmaster (550 FTX),2200,1524.0,2686,1289.0,550.0,35.6394005,FTX,670.5600000000001
.450 Marlin (350 FP),2100,1397.0,3427,1516.0,350.0,22.6796185,FP,640.08
.45-70 (300 HP),1810,1244.0,2182,1031.0,300.0,19.439673,HP,551.688
.45-70 (405 FP),1330,1055.0,1590,1001.0,405.0,26.24355855,FP,405.384
.45-90 Win. (350 FP),1510,,1775,,350.0,22.6796185,FP,460.24800000000005
.450 NE (465 RN),2190,1765.0,4952,3216.0,465.0,30.13149315,RN,667.5120000000001
.458 Win. Mag. (500 RN),2090,1650.0,4850,3025.0,500.0,32.399455,RN,637.032
